,Unnamed: 0,Region/Country/Area,Región,Year,Series,Value,Footnotes,Source
0,0,1,"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.3,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1,1,202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",9.6,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2,2,419,Latin America & the Caribbean,2015,"Intentional homicide rates per 100,000",22.3,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
3,3,62,South-central Asia,2015,"Intentional homicide rates per 100,000",3.7,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
4,4,9,Oceania,2015,"Intentional homicide rates per 100,000",8.8,"Data is for 2015, or latest available data from 2010 onwards.;Excludes Australia and New Zealand.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
5,5,53,Australia and New Zealand,2015,"Intentional homicide rates per 100,000",1.0,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
6,6,4,Afghanistan,2010,"Intentional homicide rates per 100,000",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
7,7,4,Afghanistan,2012,"Intentional homicide rates per 100,000",6.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,8,4,Afghanistan,2012,"Percentage of male and female intentional homicide victims, Male",11.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
9,9,4,Afghanistan,2012,"Percentage of male and female intentional homicide victims, Female",0.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
10,10,8,Albania,2005,"Intentional homicide rates per 100,000",5.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
11,11,8,Albania,2005,"Percentage of male and female intentional homicide victims, Male",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,12,8,Albania,2005,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
13,13,8,Albania,2005,"Assault rate per 100,000 population",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
14,14,8,Albania,2005,"Theft at the national level, rate per 100,000 population",97.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
15,15,8,Albania,2005,"Robbery at the national level, rate per 100,000 population",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
16,16,8,Albania,2005,"Total Sexual Violence at the national level, rate per 100,000",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
17,17,8,Albania,2010,"Intentional homicide rates per 100,000",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
18,18,8,Albania,2010,"Percentage of male and female intentional homicide victims, Male",7.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
19,19,8,Albania,2010,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,20,8,Albania,2010,"Assault rate per 100,000 population",6.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
21,21,8,Albania,2010,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
22,22,8,Albania,2010,"Theft at the national level, rate per 100,000 population",135.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
23,23,8,Albania,2010,"Robbery at the national level, rate per 100,000 population",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
24,24,8,Albania,2010,"Total Sexual Violence at the national level, rate per 100,000",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
25,25,8,Albania,2015,"Intentional homicide rates per 100,000",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
26,26,8,Albania,2015,"Percentage of male and female intentional homicide victims, Male",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
27,27,8,Albania,2015,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,28,8,Albania,2015,"Assault rate per 100,000 population",5.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
29,29,8,Albania,2015,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
30,30,8,Albania,2015,"Theft at the national level, rate per 100,000 population",245.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
31,31,8,Albania,2015,"Robbery at the national level, rate per 100,000 population",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,32,8,Albania,2015,"Total Sexual Violence at the national level, rate per 100,000",5.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
33,33,8,Albania,2016,"Intentional homicide rates per 100,000",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
