,Country or Area,Year,Value,Value Footnotes
1303,Denmark,2017,55560.0,
1304,Denmark,2016,51990.0,
1305,Denmark,2015,50560.0,
1306,Denmark,2014,49640.0,
1307,Denmark,2013,48210.0,
1308,Denmark,2012,45820.0,
1309,Denmark,2011,45340.0,
1310,Denmark,2010,43700.0,
1311,Denmark,2009,40740.0,
1312,Denmark,2008,41740.0,
1313,Denmark,2007,39160.0,
1314,Denmark,2006,37750.0,
1315,Denmark,2005,34430.0,
1316,Denmark,2004,32950.0,
1317,Denmark,2003,30510.0,
1318,Denmark,2002,30260.0,
1319,Denmark,2001,29020.0,
1320,Denmark,2000,28010.0,
1321,Denmark,1999,26370.0,
1322,Denmark,1998,25450.0,
1323,Denmark,1997,24470.0,
1324,Denmark,1996,23250.0,
1325,Denmark,1995,22250.0,
1326,Denmark,1994,21180.0,
1327,Denmark,1993,19700.0,
1328,Denmark,1992,19180.0,
1329,Denmark,1991,18370.0,
1330,Denmark,1990,17590.0,
5507,Sweden,2017,52190.0,
5508,Sweden,2016,49420.0,
5509,Sweden,2015,48930.0,
5510,Sweden,2014,47570.0,
5511,Sweden,2013,46770.0,
5512,Sweden,2012,45810.0,
5513,Sweden,2011,44720.0,
5514,Sweden,2010,42780.0,
5515,Sweden,2009,40640.0,
5516,Sweden,2008,43360.0,
5517,Sweden,2007,41850.0,
5518,Sweden,2006,38440.0,
5519,Sweden,2005,34470.0,
5520,Sweden,2004,33760.0,
5521,Sweden,2003,32050.0,
5522,Sweden,2002,30720.0,
5523,Sweden,2001,29700.0,
5524,Sweden,2000,29340.0,
5525,Sweden,1999,27140.0,
5526,Sweden,1998,25330.0,
5527,Sweden,1997,24160.0,
5528,Sweden,1996,23270.0,
5529,Sweden,1995,22430.0,
5530,Sweden,1994,21130.0,
5531,Sweden,1993,19720.0,
5532,Sweden,1992,19900.0,
5533,Sweden,1991,20050.0,
5534,Sweden,1990,19890.0,
6065,Uruguay,2017,21380.0,
6066,Uruguay,2016,20750.0,
6067,Uruguay,2015,20350.0,
6068,Uruguay,2014,19740.0,
6069,Uruguay,2013,19020.0,
6070,Uruguay,2012,17560.0,
6071,Uruguay,2011,17380.0,
6072,Uruguay,2010,16180.0,
6073,Uruguay,2009,14950.0,
6074,Uruguay,2008,14320.0,
6075,Uruguay,2007,13240.0,
6076,Uruguay,2006,12120.0,
6077,Uruguay,2005,11240.0,
6078,Uruguay,2004,10000.0,
6079,Uruguay,2003,9290.0,
6080,Uruguay,2002,9480.0,
6081,Uruguay,2001,10020.0,
6082,Uruguay,2000,10220.0,
6083,Uruguay,1999,10240.0,
6084,Uruguay,1998,10280.0,
6085,Uruguay,1997,9790.0,
6086,Uruguay,1996,8880.0,
6087,Uruguay,1995,8300.0,
6088,Uruguay,1994,8290.0,
6089,Uruguay,1993,7630.0,
6090,Uruguay,1992,7310.0,
6091,Uruguay,1991,6630.0,
6092,Uruguay,1990,6150.0,
