,Country or Area,Year,Value,Value Footnotes
2794,Japan,2017,43490.0,
2795,Japan,2016,42500.0,
2796,Japan,2015,41950.0,
2797,Japan,2014,40590.0,
2798,Japan,2013,40280.0,
2799,Japan,2012,38190.0,
2800,Japan,2011,36790.0,
2801,Japan,2010,35890.0,
2802,Japan,2009,34010.0,
2803,Japan,2008,35710.0,
2804,Japan,2007,35540.0,
2805,Japan,2006,33960.0,
2806,Japan,2005,32350.0,
2807,Japan,2004,30920.0,
2808,Japan,2003,29380.0,
2809,Japan,2002,28560.0,
2810,Japan,2001,27890.0,
2811,Japan,2000,27220.0,
2812,Japan,1999,25630.0,
2813,Japan,1998,25380.0,
2814,Japan,1997,25470.0,
2815,Japan,1996,24800.0,
2816,Japan,1995,23610.0,
2817,Japan,1994,22590.0,
2818,Japan,1993,21990.0,
2819,Japan,1992,21640.0,
2820,Japan,1991,21000.0,
2821,Japan,1990,19710.0,
5009,Singapore,2017,89840.0,
5010,Singapore,2016,85090.0,
5011,Singapore,2015,82930.0,
5012,Singapore,2014,83600.0,
5013,Singapore,2013,78420.0,
5014,Singapore,2012,75470.0,
5015,Singapore,2011,73420.0,
5016,Singapore,2010,70790.0,
5017,Singapore,2009,59610.0,
5018,Singapore,2008,61870.0,
5019,Singapore,2007,63510.0,
5020,Singapore,2006,59100.0,
5021,Singapore,2005,52650.0,
5022,Singapore,2004,48490.0,
5023,Singapore,2003,45110.0,
5024,Singapore,2002,42030.0,
5025,Singapore,2001,40730.0,
5026,Singapore,2000,41410.0,
5027,Singapore,1999,38460.0,
5028,Singapore,1998,36270.0,
5029,Singapore,1997,38120.0,
5030,Singapore,1996,34830.0,
5031,Singapore,1995,33630.0,
5032,Singapore,1994,31490.0,
5033,Singapore,1993,27990.0,
5034,Singapore,1992,25720.0,
5035,Singapore,1991,23920.0,
5036,Singapore,1990,22430.0,
