,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
3596,Denmark,2014,All genders,Not applicable,Percent,129.86802
3597,Denmark,2013,All genders,Not applicable,Percent,129.77909
3602,Denmark,2012,All genders,Not applicable,Percent,123.68251000000001
3603,Denmark,2011,All genders,Not applicable,Percent,122.80118999999999
3607,Denmark,2010,All genders,Not applicable,Percent,119.56938999999998
3610,Denmark,2009,All genders,Not applicable,Percent,118.03464
3613,Denmark,2008,All genders,Not applicable,Percent,117.89976000000001
3616,Denmark,2007,All genders,Not applicable,Percent,118.8251
3619,Denmark,2006,All genders,Not applicable,Percent,120.0791
3622,Denmark,2005,All genders,Not applicable,Percent,124.18092
3625,Denmark,2004,All genders,Not applicable,Percent,123.65825
3628,Denmark,2003,All genders,Not applicable,Percent,126.46576999999999
3631,Denmark,2002,All genders,Not applicable,Percent,126.32153000000001
3634,Denmark,2001,All genders,Not applicable,Percent,131.03711
3636,Denmark,2000,All genders,Not applicable,Percent,127.0543
3641,Denmark,1999,All genders,Not applicable,Percent,125.15341000000001
3642,Denmark,1998,All genders,Not applicable,Percent,123.52933
3646,Denmark,1996,All genders,Not applicable,Percent,120.56981
3649,Denmark,1995,All genders,Not applicable,Percent,117.94246000000001
3652,Denmark,1994,All genders,Not applicable,Percent,114.40356000000001
3655,Denmark,1993,All genders,Not applicable,Percent,111.63909
3658,Denmark,1992,All genders,Not applicable,Percent,110.25881000000001
3661,Denmark,1991,All genders,Not applicable,Percent,109.63778
3665,Denmark,1990,All genders,Not applicable,Percent,109.52802
3666,Denmark,1989,All genders,Not applicable,Percent,109.20206999999999
3671,Denmark,1988,All genders,Not applicable,Percent,107.7752
3672,Denmark,1987,All genders,Not applicable,Percent,106.88278999999999
3677,Denmark,1986,All genders,Not applicable,Percent,105.46416
3678,Denmark,1985,All genders,Not applicable,Percent,103.58921
3683,Denmark,1984,All genders,Not applicable,Percent,103.30089
3684,Denmark,1983,All genders,Not applicable,Percent,104.61756
3689,Denmark,1982,All genders,Not applicable,Percent,104.73365
3690,Denmark,1981,All genders,Not applicable,Percent,104.82655
3695,Denmark,1980,All genders,Not applicable,Percent,102.30253
3696,Denmark,1979,All genders,Not applicable,Percent,98.71677
3701,Denmark,1978,All genders,Not applicable,Percent,96.26469
14835,Sweden,2014,All genders,Not applicable,Percent,132.91093
14836,Sweden,2013,All genders,Not applicable,Percent,128.46305
14841,Sweden,2012,All genders,Not applicable,Percent,98.03959
14842,Sweden,2011,All genders,Not applicable,Percent,96.91104
14846,Sweden,2010,All genders,Not applicable,Percent,98.19066
14849,Sweden,2009,All genders,Not applicable,Percent,99.69329
14852,Sweden,2008,All genders,Not applicable,Percent,101.59046
14855,Sweden,2007,All genders,Not applicable,Percent,102.63951
14858,Sweden,2006,All genders,Not applicable,Percent,103.63069
14861,Sweden,2005,All genders,Not applicable,Percent,104.11052
14865,Sweden,2004,All genders,Not applicable,Percent,103.3312
14866,Sweden,2003,All genders,Not applicable,Percent,137.0636
14871,Sweden,2002,All genders,Not applicable,Percent,143.9688
14872,Sweden,2001,All genders,Not applicable,Percent,147.68935
14877,Sweden,2000,All genders,Not applicable,Percent,151.90774
14878,Sweden,1999,All genders,Not applicable,Percent,156.60578
14883,Sweden,1998,All genders,Not applicable,Percent,155.77633
14884,Sweden,1997,All genders,Not applicable,Percent,139.22194
14889,Sweden,1996,All genders,Not applicable,Percent,135.2424
14890,Sweden,1995,All genders,Not applicable,Percent,130.81434
14895,Sweden,1994,All genders,Not applicable,Percent,126.80321
14896,Sweden,1993,All genders,Not applicable,Percent,120.81685
14901,Sweden,1992,All genders,Not applicable,Percent,91.68816
14902,Sweden,1991,All genders,Not applicable,Percent,90.20915
14907,Sweden,1990,All genders,Not applicable,Percent,89.71539
14908,Sweden,1989,All genders,Not applicable,Percent,89.77620999999999
14913,Sweden,1988,All genders,Not applicable,Percent,90.0687
14914,Sweden,1987,All genders,Not applicable,Percent,88.75972
14917,Sweden,1986,All genders,Not applicable,Percent,89.66165
14918,Sweden,1985,All genders,Not applicable,Percent,85.19386
14923,Sweden,1984,All genders,Not applicable,Percent,86.16086999999999
14924,Sweden,1983,All genders,Not applicable,Percent,86.70922
14929,Sweden,1982,All genders,Not applicable,Percent,86.99069
14930,Sweden,1981,All genders,Not applicable,Percent,87.89828
14935,Sweden,1980,All genders,Not applicable,Percent,86.32791
14936,Sweden,1979,All genders,Not applicable,Percent,84.90904
14941,Sweden,1978,All genders,Not applicable,Percent,80.19988000000001
14942,Sweden,1977,All genders,Not applicable,Percent,77.89043000000001
14946,Sweden,1976,All genders,Not applicable,Percent,78.17273
14949,Sweden,1975,All genders,Not applicable,Percent,82.46293
16330,Uruguay,2013,All genders,Not applicable,Percent,94.0633
16335,Uruguay,2010,All genders,Not applicable,Percent,90.29585
16336,Uruguay,2009,All genders,Not applicable,Percent,90.07378
16340,Uruguay,2008,All genders,Not applicable,Percent,87.68625
16343,Uruguay,2007,All genders,Not applicable,Percent,91.83189
16346,Uruguay,2006,All genders,Not applicable,Percent,100.81205
16349,Uruguay,2005,All genders,Not applicable,Percent,101.21551
16352,Uruguay,2004,All genders,Not applicable,Percent,106.97593
16355,Uruguay,2003,All genders,Not applicable,Percent,109.13083999999999
16358,Uruguay,2002,All genders,Not applicable,Percent,106.11332
16361,Uruguay,2001,All genders,Not applicable,Percent,101.58567
16364,Uruguay,2000,All genders,Not applicable,Percent,98.24418
16368,Uruguay,1999,All genders,Not applicable,Percent,92.10256
16369,Uruguay,1998,All genders,Not applicable,Percent,89.1358
16372,Uruguay,1996,All genders,Not applicable,Percent,85.7996
16373,Uruguay,1995,All genders,Not applicable,Percent,82.38669
16378,Uruguay,1994,All genders,Not applicable,Percent,80.85457
16379,Uruguay,1993,All genders,Not applicable,Percent,81.11426999999999
16380,Uruguay,1992,All genders,Not applicable,Percent,82.54244
16381,Uruguay,1991,All genders,Not applicable,Percent,83.82154
16382,Uruguay,1990,All genders,Not applicable,Percent,81.21089
16383,Uruguay,1989,All genders,Not applicable,Percent,78.44211
16384,Uruguay,1988,All genders,Not applicable,Percent,76.72681
16385,Uruguay,1987,All genders,Not applicable,Percent,73.64633
16386,Uruguay,1986,All genders,Not applicable,Percent,73.62754
16387,Uruguay,1985,All genders,Not applicable,Percent,71.92208000000001
16388,Uruguay,1984,All genders,Not applicable,Percent,71.22479
16389,Uruguay,1983,All genders,Not applicable,Percent,68.74594
16390,Uruguay,1982,All genders,Not applicable,Percent,66.36137
16391,Uruguay,1981,All genders,Not applicable,Percent,65.39905999999999
16392,Uruguay,1979,All genders,Not applicable,Percent,58.385169999999995
16397,Uruguay,1978,All genders,Not applicable,Percent,58.88978
16398,Uruguay,1977,All genders,Not applicable,Percent,60.04286
16399,Uruguay,1976,All genders,Not applicable,Percent,61.096880000000006
16400,Uruguay,1975,All genders,Not applicable,Percent,60.54821
